Date,beta0,beta1,beta2,lambda
2015-01-02,1.4822020436477301,-1.064878876320553,5.399647110304843,0.08223110268566064
2015-01-05,1.6804060636371203,-1.2519885484035984,4.644588145684478,0.08619815798379236
2015-01-06,1.4063937495972259,-0.970127719745625,4.95981519171651,0.07921772025806124
2015-01-07,1.0965309649533437,-0.6628743224400993,5.596283429571003,0.07266120119877671
2015-01-08,0.6601806084222387,-0.2400691236973579,6.693805848047799,0.06846531954444583
2015-01-09,0.019075212617043476,0.400832262253594,7.712801059987829,0.06081022352464393
2015-01-12,0.0,0.4197785343179402,7.559964698025811,0.05840605049232421
2015-01-13,2.5453983684990438,-1.5238302937724562,-5.368766020965478,1.2191074696053241
2015-01-14,0.0,0.4172712174226922,7.541503217594829,0.05397352011436538
2015-01-15,2.450691548927153,-1.4415986094935471,-5.323079726443854,1.1333188970909183
2015-01-16,2.4896612844372386,-1.4738716798042182,-5.361979771453943,1.1801478760571353
2015-01-20,2.4346763225878,-1.4090642354925782,-5.261224931782775,1.246393472940397
2015-01-21,2.4942616080765836,-1.4634031564729517,-5.369697292904631,1.2480847913959068
2015-01-22,2.5105110783255937,-1.4599785200344997,-5.452035683639145,1.2817041199516004
2015-01-23,2.410404223313611,-1.3655934253356927,-5.307284257107904,1.2897267834545807
2015-01-26,2.4272986181784075,-1.3754666368137218,-5.317906253039981,1.3065354537170657
2015-01-27,2.4332444453217064,-1.38975824947902,-5.324724568825655,1.2848880292416633
2015-01-28,2.3221619454228626,-1.2891390395802333,-5.1520440672723655,1.2636386758202842
2015-01-29,2.3764434255073037,-1.3410789626359505,-5.24015409752883,1.2712870229656932
2015-01-30,2.2999485253685408,-1.2937705901746945,-5.060497663338852,1.2055372249367546
2015-02-02,2.305986182139773,-1.2967870963488373,-5.075853067494176,1.216196176164152
2015-02-03,2.4248500350038635,-1.4175081007673649,-5.143971396166968,1.215763171964597
2015-02-04,2.4410790011271857,-1.4358073553216317,-5.195927355183408,1.2251287099483033
2015-02-05,3.0097463651938017,-2.5966161270538817,-0.010692231159161694,0.16005155076358493
2015-02-06,0.9759191481630006,-0.5464227275578614,5.832603972965901,0.07277030260367422
2015-02-09,1.1425815089492393,-0.7151833381484027,5.533563717872198,0.0753378216075528
2015-02-10,1.2703113736222469,-0.8443456993963602,5.476122998774098,0.07725406981965158
2015-02-11,1.3032787582700458,-0.8807447199528217,5.385343794495971,0.07881447472681866
2015-02-12,0.7903871067533653,-0.3711146400865039,6.424821529882444,0.0694737491809685
2015-02-13,0.8546765045089652,-0.43576987540875417,6.481358628506526,0.07036278678972491
2015-02-17,1.244074523902053,-0.829830763004014,6.0659469015891645,0.07868383624159626
2015-02-18,0.0,0.41143299585367227,8.290128973023316,0.06135041291399129
2015-02-19,0.4662395494229132,-0.054151731505397815,7.561794492137228,0.06752663669610738
2015-02-20,0.7601391775231957,-0.3507286554260426,7.022666454366658,0.07189662293204056
2015-02-23,0.2974649948719339,0.11384214882308342,7.640014190240582,0.06628690863043776
2015-02-24,0.0,0.41570586936323256,7.969339369074268,0.06040611474300564
2015-02-25,0.0,0.4161942337250816,7.834872769451205,0.06120665975787969
2015-02-26,0.8903852446836562,-0.4735721735620483,6.41500237564147,0.07171791433435051
2015-02-27,0.08816057425693681,0.3278189278681638,7.799067686953687,0.06302929353249619
2015-03-02,0.4716257396800874,-0.05832466651209835,7.38956528828881,0.06809290184696755
2015-03-03,0.9496273533357472,-0.5311322528807375,6.588840057096149,0.07469469912182235
2015-03-04,0.8139930208208578,-0.40059408349375153,6.880784944392483,0.07218810475530159
2015-03-05,0.09773722491305381,0.3202302188059285,8.155550660208645,0.0645281052437499
2015-03-06,1.0012863425556258,-0.5885621119444571,6.929736109332498,0.07749542390753697
2015-03-09,0.9703447803086294,-0.5519840094552052,6.856928506076136,0.0751551399072575
2015-03-10,0.8756137878416757,-0.4507119977810425,6.789688884111321,0.07346469733007839
2015-03-11,0.9057269030386017,-0.47645368331223764,6.589228706595082,0.07384161716144245
2015-03-12,0.5210822163822157,-0.09543100010916601,7.314757513353156,0.06890500001785303
2015-03-13,0.5526416118268802,-0.12700678648669597,7.293631576858241,0.07015760600815263
2015-03-16,0.300535677204663,0.13787806275712827,7.62793719364161,0.06667904557623991
2015-03-17,0.5889081521072532,-0.1350883219282964,6.884764817437291,0.06978840015282566
2015-03-18,0.0,0.4260849116340479,7.683382929959938,0.05886609353191167
2015-03-19,0.0,0.4357756230268483,7.731918763715082,0.062274408165866
2015-03-20,0.0,0.4234192653990892,7.6256543365474005,0.06032672989568831
2015-03-23,0.0,0.43241727873263386,7.645852439679734,0.05845142534607397
2015-03-24,2.5140006248162443,-1.4988315720634353,-5.196489941878038,1.2313398769209645
2015-03-25,0.0,0.43386034788647737,7.6047334463910845,0.0594193539183459
2015-03-26,0.0,0.4359821615665682,7.922673536016947,0.06070393172079394
2015-03-27,0.0,0.4355236936965871,7.688072959626443,0.058816403943757485
2015-03-30,0.0,0.4369738749247977,7.7728939545383815,0.05810291692409444
2015-03-31,0.0,0.44212043485174995,7.75840689457353,0.05584055099623181
2015-04-01,2.5396479068274,-1.5674760122004758,-5.043006656535693,1.125623691630497
2015-04-02,0.0,0.4240006383039512,7.747209798734477,0.05559295313668003
2015-04-03,2.5669627177512395,-1.582002839515286,-5.284829433006088,1.0889535450588748
2015-04-06,2.6537887819326595,-1.675709789118121,-5.371070908257003,1.0848711194120053
2015-04-07,2.5901459585305937,-1.60508532967379,-5.2849871856122,1.1274667998655292
